,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
WOLFE STREET FOUNDATION INC,, ,,,www.wolfestreet.org,1015 LOUISIANA ST ,LITTLE ROCK,72202,,"AA MEETING PLACE

THE FOUNDATION PROVIDES A MEETING PLACE FOR ALCOHOLICS ANONYMOUS GROUPS IN THE LITTLE ROCK, ARKANSAS AREA",34.7392914,-92.2733531,71-0571011,AR
ARKANSAS VISITATION AND EXCHANGE CENTER INC,, ,,,,PO BOX 1599 % JENNIFER ROKEBY-MAYEUX,BENTONVILLE,72712,,"

",36.3728538,-94.2088172,30-0391414,AR
YOUTH LIFE OF BOONE MARION COUNTIES INC,, ,,,,PO BOX 1187 % BLANCHE DONOHO DIRECTOR,DIAMOND CITY,72630,,"

",36.46,-92.92000000000002,01-0631540,AR
WOMENS CRISIS CENTER OF NEA INC,, ,,,,PO BOX 721 ,JONESBORO,72403,,"Provide shelter and relief for victims of domestic abuse

The mission of the WCC is to empower individuals who are experiencing domestic violence by providing safety, shelter, support services, public education, and social/legal advocacy. Approximately 500 persons benefited FYE 9/30/2008.",35.673781,-90.5066609,58-1766751,AR
NEWPORT HEALTHCARE SERVICES INC,, ,,,,PO BOX 766 % JON CHADWELL,NEWPORT,72112,,"

",35.6048018,-91.2817951,26-2693854,AR
RAPE CRISIS INC,, ,,,,628 W BROADWAY ST STE 202 ,N LITTLE ROCK,72114,,"PROVIDE SUPPORT FOR RAPE VICTIMS

PROVIDE EMOTIONAL SUPPORT FOR RAPE VICTIMS AND THEIR FAMILIES; REFER VICTIMS TO PROFESSIONALS; AND EDUCATE THE PUBLIC ABOUT RAPE.",34.7565838,-92.27376489999999,23-7440443,AR
ARKANSAS HUNGER COALITION,, ,,,,1400 W MARKHAM ST STE 304 ,LITTLE ROCK,72201,,"STOP THE HUNGER IN ARKANSAS

PROVIDING SERVICES TO CITIZENS OF ARKANSAS WHO DO NOT HAVE THE FINANCIAL MEANS TO PAY FOR FOOD",34.750574,-92.285175,71-0765597,AR
WARRIORS OF THE CROSS,, ,,,,317 PIKE % JOHN H ROBERTSON,BENTON,72019,,"

",34.5645371,-92.586828,20-3789290,AR
GRACELIFE,, ,,,,1400 DIVIDEND DR % DAN DOWNING,SPRINGDALE,72764,,"

",36.18674420000001,-94.1288141,26-2826144,AR
ASSOCATION OF REHABILITATION BUSINESS & INDUSTRY INC,, ,,,,PO BOX 389 ,MALVERN,72104,,"STATE WIDE ORGANIZATION WORKING TO PLACE INDIVIDUALS WITH DISABILITIES IN THE WORK WORK TO GAIN SUCESSFUL EMPLOYMENT

PLACEMENT OF INDIVIDUALS WITH DISABILITIES IN THE WORK FORCE TO GAIN SUCCESSFUL EMPLOYMENT",34.3623149,-92.81294620000001,71-0505159,AR
FAMILY CENTER INC,, ,,,,406 PECAN STREET ,HELENA,72342,,"BATTERED FAMILY SHELTER AND COUNSELING

PROVIDE SECURE HAVEN AND COUNSELING FOR VICTIMS OF ABUSED, SERVE MENTAL HEALTH AND SOME PHYSICAL NEEDS OF BATTERED WOMEN",0.0,0.0,62-1710744,AR
HARMONY HOUSE INC,, ,,,,PO BOX 1901 ,HARRISON,72602,,"DOMESTIC VIOLENCE SHELTER SYSTEM.

DOMESTIC VIOLENCE SHELTER GRANT ACTIVITIES (VOCA, VAWA, FVSPA) IN-KIND PERSONNEL CONTRIBUTIONS OF $34,993 EXCLUDED.",0.0,0.0,71-0791499,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 1451 ,SEARCY,72145,,"To furnish care and service to U. S. Veterans of Foreign Wars.

Membership assistance to needy veterans ana their families. Flags for deceased veterans and their immediate families.",0.0,0.0,71-0358149,AR
ORDINARY MIRACLE INC,, ,,,,171 WILSHIRE DR % SUSAN SCHEELE,FAIRFIELD BAY,72088,,"

",35.5942441,-92.27793240000001,20-8504594,AR
UNITED FAITH OUTREACH CENTER INC,, ,,,,508 GARDENIA AVE % GEORGIA R CLARY,N LITTLE ROCK,72117,,"

",34.777697,-92.1253854,74-3130352,AR
ARKANSAS 5 A DAY COALITION,, ,,,,4815 WEST MARKHAM ST SLOT 63 % DAVID L RATH,LITTLE ROCK,72205,,"

",34.7486563,-92.3542193,01-0695283,AR
DELTA REGIONAL COMMUNITY SERVICES OUTREACH NETWORK INC,, ,,,,9 ASHBERRY CIR % JACQUELINE ROSS,PINE BLUFF,71602,,"

",34.2284312,-92.00319549999999,75-3183053,AR
INSITE MINISTRY INC,, ,,,,PO BOX 462 ,CALDWELL,72322,,"

",35.0711758,-90.8169021,71-0823071,AR
HOPE CENTER,, ,,,,CO EARL HELTON 1706 E 2ND ST % EARL HELTON,RUSSELLVILLE,72801,,"

",0.0,0.0,20-5896104,AR
DODSON STREET FAMILY LIFE CENTER INC,, ,,,,206 W Dodson St ,Nashville,71852,,"After school tutoring

After school tutoring for students at high risk for dropout",0.0,0.0,71-0763671,AR
HOSEAS HOUSE OF ARKANSAS INC,, ,,,,420 E 14TH & CYPRESS N % REGINALD BAKER,LITTLE ROCK,72115,,"

",34.78,-92.27,02-0594972,AR
GOLDENS EDUCATIONAL CENTER,, ,,,,141 FIELDCREST % MARY G MOTEN,MARION,72364,,"

",35.2145336,-90.1964835,47-0850651,AR
"Goodwill Industries of Arkansas, Inc.",,Brian Itzkowitz,,CEO,www.GoodwillAR.org,1110 West 7th St ,Little Rock,72201,,"Goodwill Industries of Arkansas Helps Build Lives, Families, and Communities by assisting people with disabilities and other special needs reach their highest potential through training, education, and employment services.

THROUGH THE SALE OF COLLECTED DONATED GOODS, GOODWILL INDUSTRIES PROVIDES VOCATIONAL TRAINING TO INDIVIDUALS THIS PROGRAM ALSO INCLUDES SUPPORTIVE EMPLOYMENT, JOB COACHING, THE WAGE PROGRAM, THE JOB CONNECTION PROGRAM, TICKET-TO WORK PROGRAM, AND THE HELPS PROGRAM",34.743828,-92.28359019999999,71-0236903,AR
WHITE COUNTY CHILDRENS SAFETYCENTER,, ,,,,PO BOX 2142 % LARRY MELVILLE,SEARCY,72145,,"

",35.2526178,-91.7429322,26-0435184,AR
PEACHTREE HOSPICE FOUNDATION INC,, ,,,,1000 TIARRA WAY ,FT SMITH,72919,,"

",35.2817337,-94.4233763,58-2079392,AR
THE FELLOWSHIP CLUB INC,, ,,,,323 E EMMA AVE ,SPRINGDALE,72764,,"

",0.0,0.0,71-0553184,AR
FLEET RESERVE ASSOCIATION,, ,,,,316 N POLK STREET ,MENA,71953,,"

",0.0,0.0,71-0551720,AR
MODERN DAY VETERANS,, ,,,,711 SW 4TH ST ,CORNING,72422,,"

",36.4063351,-90.5854713,36-4415415,AR
GHANA WEST AFRICA MISSIONS,, ,,,www.ghanamission.org,PO BOX 40 ,SEARCY,72145,,"To serve the people of Ghana through the drilling of water wells, support of a children's home and support of local evangelists

Provide water wells",0.0,0.0,20-0305580,AR
O SAVANNAH INC,, ,,,,3915 W 10TH ST % NATHANIEL SAINE,LITTLE ROCK,72204,,"

",34.7179437,-92.3714901,81-0669269,AR
HUGHES CHAPEL OUTREACH MINISTRIES,, ,,,,PO BOX 4 % HUGHES CHAPEL OUTREACH MINISTRIES,HUGHES,72348,,"

",34.9492613,-90.4714905,26-3602235,AR
TOBACCO PREVENTION AND EDUCATION TASK FORCE OF CRAIGHEAD COUNTY,, ,,,,1335 E PARKER RD % EUGENIA L JEANNIE GILLIS,JONESBORO,72404,,"

",35.84229670000001,-90.704279,30-0362778,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 3036 ,FIFTY SIX,72533,,"

",35.9605556,-92.22999999999999,71-6061908,AR
AMVETS,, ,,,,20 SHADY POINT DR ,CONWAY,72032,,"

",0.0,0.0,71-0815102,AR
BEHAVIORAL HEALTH SERVICES INC OF ARKANSAS,, ,,,,PO BOX 743 ,HELENA,72342,,"PROVIDE BEHAVIORAL HEALTHCARE.

MENTAL HEALTH SERVICES - PROVIDE THERAPEUTIC FOSTER CARE, ALCOHOL SAFETY EDUCATION PROGRAMS, FOOD AND NUTRITION SERVICES, COMMUNITY SUPPORT GROUP AND OTHER MENTAL HEALTH SERVICES.",0.0,0.0,71-0397796,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,2008 GARFIELD ST ,PIGGOTT,72454,,"

",36.3722579,-90.1843265,51-0198872,AR
WORKFORCE PROFESSIONAL SERVICES INCORPORATED,, ,,,,PO BOX 2008 ,JONESBORO,72402,,"TO CREATE JOBS THROUGH THE DEPARTMENT OF LABOR USING FEDERAL WIA FUNDS

WORFORCE INVESTMENT ACT, EMPLOYMENT & TRAINING SERVICES FOR ECONOMICALLY DISADVANTAGED PERSONS AGED 16 AND UP AND DISLOCATED WORKERS. ACTIVITIES INCLUDE, BUT ARE NOT LIMITED TO REMEDIAL EDUCATION, OCCUPATIONAL SKILLS TRAINING, ON THE JOB TRAINING, & WORK EXPERIENCE.",35.673781,-90.5066609,26-1311731,AR
HOT SPRINGS VILLAGE VETERANS MEMORIAL FOUNDATION,, ,,,,PO BOX 8644 ,HOT SPRINGS VILLAG,71910,,"

BUILT MONUMENT. CONTINUOUSLY ADDING BRICKS AND PLAQUES. MAINTAIN THE MEMORIAL. CONTINUOUSLY PROMOTING INTEREST IN THE VETERANS MEMORIAL TO THE PUBLIC.",34.64,-93.06,20-0718350,AR
TURNING POINT OF SOUTH ARKANSAS INC,, ,,,,900 E 1ST ST ,EL DORADO,71730,,"Of sexual assault, to work toward solving and alleviating family violence, to help abused persons and children to cope with fears and anxieties, to find refuge, to learn, to grow and make positive decisions for their future.

THE CENTER PROVIDES FOOD, CLOTHING, SHELTER AND EDUCATION FOR VICTIMS OF SEXUAL ASSAULT AND/OR FAMILY VIOLENCE",33.2054829,-92.6547846,71-0609660,AR
"Ozark Rape Crisis, Inc.",orcc@mail.cswnet.com,Dorinda Edmisten,,Executive Director,http://www.ozarkrapecrisis.org,600 S Pine St PO Box 1953,Harrison,72601,,"ORCC is a non profit organization committed to addressing the serious problems related to sexual assault. Our mission is as follows:  To provide immediate crisis intervention and emotional support to victims of sexual assault. To increase community awareness and understanding of the crimes related to sexual assault. To serve as a catalyst for effective change to improve response of medical and criminal justice systems to rape.

PROVIDING CRISIS INTERVENTION TO VICTIMS OF RAPE AND INCEST AND SEXUAL ABUSE IN NORTH ARKANSAS",0.0,0.0,71-0713075,AR
SONS OF CONFEDERATE VETERANS INC,, ,,,,1200 TANGLEWOOD DR ,WHITE HALL,71602,,"

",34.2909356,-92.0915655,58-1811697,AR
THREAD OF HOPE,, ,,,,109 YOCUM RD % SANDRA F SCHUK,LAKE VILLAGE,71653,,"

",33.3316667,-91.2836111,90-0403868,AR
SELMA COMMUNITY CENTER,, ,,,,146 SELMA COLLINS RD % BOB WARE,DERMOTT,71638,,"

",33.52539,-91.4359537,06-1783719,AR
"Mississippi County Special Workshop, Inc.",, ,,,,P.O. Box 657 ,Blytheville,72316,,"Mississippi County Special Workshop was founded in 1978 by Paul Hughes to aid the mentally and physically impaired in job preparation and training, and then to place them into community-based employment.

PROVIDED EMPLOYMENT FOR 60 (ESTIMATE) SEVERELY TO MODERATELY HANDICAPPED IND & HELP TRAIN THEM IN PROPER WORK HABITS & SOCIAL ADJ",35.9814598,-90.1517614,71-0510859,AR
NORTH ARKANSAS DRUG AWARENESS & PREVENTION COUNCIL INC,, ,,,,524 S CLIFFORD ST ,HARRISON,72601,,"Tobacco &Drug Use Prevention to Area Youth.

Federal Grant-Dare To Be YOU-Youth Drug Prevention & Mentor Program",0.0,0.0,71-0682171,AR
PROJECT LIFESAVER BENTON COUNTY,, ,,,,PO 5631 % KATHY BANNISTER,BELLA VISTA,72714,,"

",36.4704514,-94.21283369999999,83-0482813,AR
SONS OF CONFEDERATE VETERANS INC,, ,,,,593 FENDLEY RD % DAVID LOY MAUCH,BISMARCK,71929,,"

",34.3126907,-93.1578875,58-2051233,AR
AGAINST THE FLOW MINISTRIES INC,, ,,,,PO BOX 1351 % SONNY R MORGASON,OZARK,72949,,"

",35.4870295,-93.8276965,27-0319994,AR
WASTE NOT WANT NOT,, ,,,,8117 COLERIDGE DR ,N LITTLE ROCK,72116,,"

",34.828874,-92.24264099999999,27-1742241,AR
FORT SMITH FIREFIGHTERS FOUNDATION,, ,,,,3309 LONDONDERRY RD % TERY L GRAVES,FORT SMITH,72908,,"

",0.0,0.0,14-1957642,AR
IMPACT 360,, ,,,,1107 GOLF COURSE DR % SCOT CRENSHAW,SEARCY,72143,,"

",35.2468204,-91.73368459999999,20-3132837,AR
MODERN FREE GRAND COUNCIL OF ARKANSAS INC,, ,,,,2004 N HILLS CT % VICTOR SANDERS,N LITTLE ROCK,72116,,"

",34.8030992,-92.24827049999999,33-1013621,AR
IN GODS HANDS TRANSITIONAL LIVING HOME,, ,,,,1114 E NORTH ST % YE JUANDA MARIA SARGENT,MAGNOLIA,71753,,"

",33.2670725,-93.239334,26-3001526,AR
INSPIRED COMMUNITIES FOUNDATION,, ,,,,608 WATER ST % ROBERT BURTON,BATESVILLE,72501,,"

",35.769799,-91.6409721,26-1790026,AR
HEALING PLACE MINISTRIES,healingplacem@sbcglobal.net,Edna Morgan,,Crime Victims' Chaplain,healingplacem@sbcglobal.net,8309 1/2 Old Warren Rd. 200 W. Sixth St,Pine Bluff,71603,,"We are a retreat centers that serves the community to improve its health and wholness by providing educational and enrichment workshops for children, youth and adults; pastoral care for adult individuals and marriage and pre-marriage workshops; and, advocacy services for elderly victims of crime.

Services to youth at risk and victims of crime.",0.0,0.0,11-3669859,AR
SANCTUARY INC,, ,,,,PO BOX 762 ,HARRISON,72602,,"DOMESTIC VIOLENCE SHELTER

",0.0,0.0,71-0548453,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 403 ,GENTRY,72734,,"

",36.2675793,-94.4846601,31-1160651,AR
Psi Chi Chapter,scottgast@hotmail.com,Kay Wilson,(423) 756-2044,Executive Officer,http://www.psichi.org,Little Rock University Department of Psychology ,Little Rock,72204,,"Psi Chi is the National Honor Society in Psychology, founded in 1929 for the purposes of encouraging, stimulating, and maintaining excellence in scholarship, and advancing the science of psychology. Membership is open to graduate and undergraduate men and women who are making the study of psychology one of their major interests, and who meet the minimum qualifications. Psi Chi is a member of the Association of College Honor Societies and is an affiliate of the American Psychological Association and the American Psychological Society.

",0.0,0.0,71-0769279,AR
DISABLED AMERICAN VETERANS,, ,,,,117 WRIGHT ACRES ,DE QUEEN,71832,,"

",34.0520291,-94.3519324,31-0898123,AR
"Auxiliary Arc Literacy Council, Inc.",info@thearc.org,Suzette Crim,(301)565-3842,Director of Operations,,800 West Commercial St ,Ozark,72949,,"The Arc is an association formed in 1950 by family members and friends of people with mental retardation. Today there are 120,000 members and nearly 1,000 state and local chapters. The primary objective of the Arc is to secure for all people with mental retardation the opportunity to choose and realize their goals of where and how they learn, live, work, and play.  The Arc is further committed to reducing the incidence and limiting the consequence of mental retardation through education, research, advocacy, and the support of families, friends, and the community.

",0.0,0.0,71-0707429,AR
Single Parent Scholarship Fund of Washington County Inc,jody@spsfnwa.org,Jody Dilday,,Executive Director,www.spsfnwa.org,601 W. Dickson St. Suite 2,Fayetteville,72701,,"We are a community supported effort creating better, brighter futures for single parent families by offering encouragement and access to higher education.  

2009 Accomplishments: ""DAwarded 267 scholarships in 2009 ""Awarded 82 back-to-school stipends for school aged children of scholarship recipients ""In total, distributed $305,125 in scholarships, graduation bonuses and back-to-school supply stipends",0.0,0.0,68-0498770,AR
NEW WAY RECOVERY MINISTRY INC,, ,,,,232 CHICK LN ,LITTLE ROCK,72206,,"

",34.5602919,-92.347562,38-3810240,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 667 ,CONWAY,72033,,"VETERANS MEMBERSHIP ORGANIZATION

PROVIDE PRIVATE CLUB AND MEETING FACILITIES FOR MEMBERS AND GUESTS. ALSO PROVIDE ACTIVITIES FOR MEMBERS AND KEEP MEMBERS ADVISED OF NATIONAL AND LOCAL ISSUES AND ACTIVITIES.",0.0,0.0,71-6058470,AR
DISABLED AMERICAN VETERANS,, ,,,,121 MEADORS LN ,ALMA,72921,,"

",35.482278,-94.23304399999999,31-1197147,AR
PHILLIPS COUNTY TEA COALITION INC,, ,,,,207 N SEBASTIAN % BRENDA L KNAPP CPA,W HELENA,72390,,"

",34.5396209,-90.724773,71-0823714,AR
SPRING RIVER ADULT & CHILD SERVICES INC,, ,,,,PO BOX 474 ,ASH FLAT,72513,,"

",36.2239566,-91.60847509999999,26-1243900,AR
FOREVER FAMILIES OF BAXTER COUNTY INC,, ,,,,PO BOX 219 % TRACY WIESBOECK,LAKEVIEW,72642,,"

",36.3686783,-92.5454407,26-1606433,AR
SAFE PASSAGE INC,, ,,,,PO BOX 755 ,MELBOURNE,72556,,"TO PROVIDE CRISIS INTERVENTION FOR VICTIMS OF DOMESTIC VIOLENCE

OFFERED THE FOLLOWING SERVICES TO VICTIMS OF DOMESTIC VIOLENCE: 24 HOUR HOTLINE, LEGAL ADVOCACY, PEER COUNSELING, CASE COORDINATION, CRISIS INTERVENTION, PARENTING CLASSES, SUPPORT GROUPS, AND SPIRITUAL COUNSELING. VARIOUS PUBLIC AWARENESS & DOMESTIC VIOLENCE EDUCATION PROJECTS WERE IMPLEMENTED. SERVICES WERE PROVIDED TO 224 PEOPLE AND SHELTER WAS PROVIDED FOR 60 INDIVIDUALS.",36.0595148,-91.9084819,30-0218879,AR
12 STEP LIVING FOUNDATION,, ,,,,5 PLEASANT TREE COVEE ,LITTLE ROCK,72211,,"

",34.766214,-92.40843000000001,62-1705869,AR
ARKANSAS FOR DRUG FREE YOUTH,, ,,,,628 W BROADWAY ST STE 101 ,N LITTLE ROCK,72114,,"Alcohol/Drug Abuse Education/Awareness.

Governor's Youth Conferences - Drug awareness and education conferences aimed toward youth at junior and senior high levels. To encourage youth to explore their decisions about drug use and develop ways to handle peer pressure.",0.0,0.0,71-0655500,AR
SHEPHERDS HOUSE INC,, ,,,,2710 MASSARD RD ,FORT SMITH,72903,,"

",0.0,0.0,73-1592515,AR
LADIES OF GRACE,, ,,,,PO BOX 612 ,TONTITOWN,72770,,"

",36.178673,-94.23476749999999,27-4749655,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 792 ,TEXARKANA,71601,,"

",34.1609503,-91.89038819999999,71-0454394,AR
LIFE AND HOPE OUTREACH CENTER,, ,,,,2703 E BROADWAY ST % ADAM DAVIS,W MEMPHIS,72301,,"

",35.1377209,-90.19633639999999,94-3432216,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 177 % JAMES PUTMAN,ALPENA,72611,,"

",36.2947919,-93.2921262,80-0047700,AR
CANAAN INC,, ,,,,PO BOX 915 ,OZARK,72949,,"

",0.0,0.0,58-2031512,AR
SALINE PERRY COUNTY FOSTER PARENTS ASSOCIATION,, ,,,,16300 MOUNTAIN CIR % TONYA RINER,ALEXANDER,72002,,"

",0.0,0.0,84-1649831,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,11217 HERITAGE RD % HERBERT MARSHALL,ELKINS,72727,,"

",36.0014682,-94.0082547,71-0599135,AR
RECTOR HIGH SCHOOL SPORTS HALL OF FAME INC,, ,,,,1703 LOBERG LN ,JONESBORO,72401,,"

",0.0,0.0,80-0216041,AR
MONROE COUNTY TRANSITIONAL EMPLOYMENT ADVISORY COALITION INC,, ,,,,PO BOX 804 ,BRINKLEY,72021,,"

",34.8878719,-91.19456880000001,71-0862000,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 24 ,BENTONVILLE,72712,,"

",36.453733,-94.19572400000001,71-0528983,AR
NEW LIFE CHALLENGE INC,, ,,,,503 PARADISE HEIGHTS DR % MIRIAM ROSS,BERRYVILLE,72616,,"

",36.364792,-93.5679667,35-2271961,AR
MARINE CORPS LEAGUE,, ,,,,1616 SOUTH BLVD ,CONWAY,72034,,"

",35.079358,-92.446326,23-7110180,AR
GAIN INC,, ,,,,712 WEST 3RD STREET ,LILLLE ROCK,72201,,"TREATMENT TO MI/DD, MI, & MI/SA

TREATED, COUNSELED, AND AIDED MI/DD, MI, AND MI/SA INDIVIDUALS AND INCORPORATED THEM INTO DAILY LIFE BY ASSISTING THEM IN OBTAINING SAFE AND AFFORDABLE HOUSING, FOOD AND CLOTHING",0.0,0.0,71-0763418,AR
AAMP92 FOUNDATION,, ,,,,PO BOX 1045 % VAN NEWBORN,ARKADELPHIA,71923,,"

",34.1209292,-93.0537839,26-0320922,AR
SONS OF UNION VETERANS OF THE CIVIL WAR,, ,,,,410 SE 6TH ST ,BENTONVILLE,72712,,"

",0.0,0.0,71-0779753,AR
MOMS CLUB,, ,,,,123 OBSIDIAN DR % AMBER SARTAIN,SHERWOOD,72120,,"

",34.8150907,-92.2243153,30-0384935,AR
SURF INC,, ,,,,PO BOX 10421 ,EL DORADO,71730,,"To Acquire Building for Alcohol Recovery

Alcohol Recovery, 100/wk, AA & Al Anon Meetings.",0.0,0.0,69-0006463,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 164 ,HORSESHOE BND,72512,,"

",36.21788,-91.7441475,58-1842483,AR
QUAPAW COMMUNITY CENTER OF HOT SPRINGS ARKANSAS,, ,,,,500 QUAPAW AVE ,HOT SPRINGS,71901,,"ORGANIZATION OPERATES A COMMUNITY CENTER.

COMMUNITY ORGANIZATION WHICH PROVIDES FACILITIES AND BENEFITS TO MEMBERS AND TO THE LOCAL COMMUNITY. COMPREHENSIVE PROGRAMS ARE PROVIDED FOR HEALTH AND FITNESS, EDUCATION PROGRAMS AND SOCIAL/ADULT ACTIVITIES.",0.0,0.0,71-0733406,AR
WORKFORCE INVESTMENT BOARD OF EASTERN ARKANSAS INC,, ,,,,PO BOX 1388 ,WEST MEMPHIS,72303,,"TO PROVIDE ASSISTANCE TO DISPLACED WORKERS.

THE WORKFORCE INVESTMENT BOARD OF EASTERN ARKANSAS SERVES AS THE GRANT RECIPIENT AND ADMINISTRATIVE ENTITY TO THE EASTERN ARKANSAS DELIVERY AREA",35.15,-90.05,71-0840597,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 404 ,CAMDEN,71711,,"

",33.58,-92.83,51-0151867,AR
THE STEPS INC,, ,,,,PO BOX 180038 ,FORT SMITH,72918,,"

",35.59116,-93.761674,30-0622701,AR
FRIENDSHIP COMMUNITY CARE INC,, ,,,,PO BOX 2109 ,RUSSELLVILLE,72811,,"POVIDING SERVICES AND SUPPORT THAT PROMOTE CHOICE INDEPENDENCE RESPONSIBILITY AND UNCOMPROMISING QUALITY TO THE FAMILIY AND INDIVIDUAL WITH DISABILITIES

TEACHING AND TRAINING PRESCHOOL SCHOOL AGE & ADULT HANDICAPPED CLIENTS SKILL TRAINING CENTER TO TEACH SUPERVISED LIVING PROGRAMS",0.0,0.0,71-0433583,AR
"Arkansas Good Start, Inc.",agsntad@alltel.net,Theresa A. Duncan,,Executive Director,,PO Box 877 ,Conway,72033,,"Our program trains and reimburses day care family home providers to feed good, well-balanced, nutritious meals to the children in their care. We pay reimbursements of approximately $1,000,000 per year to licensed Arkansas child care providers. We also have a warehouse of items to aide the ill, the needy and children. It is like a food bank, but no food. We have given about $600,000 in supplies in the last five years.

Child Care Food Program",34.9570324,-92.42737849999999,71-0664486,AR
INNOCENCE PROJECT ARKANSAS,, ,,,,1700 E HUNTSVILLE RD % MICHAEL HODSON,FAYETTEVILLE,72701,,"

",0.0,0.0,20-3785432,AR
NEWHOPE SPECIALIZED INDUSTRIES INC,, ,,,,1223 LINDEN ST ,SEARCY,72143,,"TRAIN HANDICAPPED PERSONS

TRAINING OF HANDICAPPED PERSONS IN MANUFACTURING JOBS",0.0,0.0,71-0416914,AR
BRADLEY COUNTY VETERANS INC,, ,,,,210 N MAIN ST % ALFRED D BARNETT,WARREN,71671,,"MEMORIALIZE ALL BRADLEY CO VETERANS

THE ORIGINAL PURPOSE WAS TO RENOVATE A BUILDING TO PROVIDE A MUSEUM COMPLETE WITH HISTORICAL ARTIFACTS, VIDEOS OF VETERANS TELLING OF THEIR EXPERIENCES SERVING IN THE PAST WARS. CURRENTLY, THE PURPOSE IS THE MAINTAINING OF THE MUSEUM WHILE CONTINUING TO GATHER HISTORICAL INFORMATION",33.6126086,-92.064583,51-0428600,AR
Arkansans for Drug Free Youth-Union County,, ,,,,1865 Northwest Ave ,El Dorado,71730,,"

",33.2307044,-92.66554119999999,58-1899455,AR
ARKANSAS ASSOCIATION OF HOMELESS AMERICAN VETERANS,, ,,,,513 MAIN ST ,N LITTLE ROCK,72114,,"

",0.0,0.0,71-0753488,AR
AMBOY COMMUNITY FOOD PANTRY,, ,,,,100 AUBURN DR % SHERRIE GASTON,N LITTLE ROCK,72118,,"

",34.8511873,-92.33202349999999,71-0861124,AR
VETERANS OF FOREIGN WARS DEPARTMENT OR ARKANSAS,, ,,,,PO BOX 145 ,CHARLESTON,72933,,"

",35.2970353,-94.03631530000001,51-0156712,AR
WORKING TO EMPOWER THE CHURCHES AND NEIGHBORHOODS,, ,,,,PO BOX 575 % BARBARA A DOUGLAS,SWEET HOME,72164,,"

",34.685799,-92.237871,20-4530171,AR
JEFFERSON COUNTY WORKFORCE ALLIANCE INC YOUTH EMPLOYMENT PROG,, ,,,,211 W 3RD AVE ,PINE BLUFF,71601,,"

",34.2272621,-92.0044842,45-0476313,AR
"Arkansas Rice Depot, Inc.",endhunger@ricedepot.org,Laura Rhea,501-565-8855,President and CEO,www.ricedepot.org,PO Box 34427 ,Little Rock,72203,,"Arkansas Rice Depot is the oldest and only statewide foodbank in Arkansas. Founded in 1982 by the Arkansas Interfaith Hunger Task Force, our name comes from the fact that Arkansas-grown rice was the first food distributed. We haven''t changed the name, but now we give out all kinds of foods through a variety of innoviative programs. Arkansas is one of the hungriest states in the nation; but thanks to Arkansas Rice Depot, over 65 million pounds of food has been distributed in Arkansas in the past 29 years. Hunger still affects families, children, and the elderly in Arkansas, so our work, and our need for support continues.

DISTRIBUTION OF USDA COMMODITIES AND DONATED FOOD ITEMS TO INDIVIDUALS THROUGH HUMANITARIAN ORGANIZATIONS",34.7461459,-92.28785669999999,71-0574819,AR
FREEDOM CENTER INC,, ,,,,2000 HIGHWAY 25 NORTH SUITE A-2 % HAROLD ROBERTS,HEBER SPRINGS,72543,,"

",35.4914677,-92.03125999999999,76-0781302,AR
QUAPAW HOUSE INC,, ,,,WWW.QUAPAWHOUSEINC.ORG,PO BOX 6040 ,VAN BUREN,72956,,"ALCOHOL & DRUG ABUSE ASSESSMENT AND TREATMENT PROGRAMS PROVIDING SERVIDING SERVICES ON BOTH RESIDENTIAL AND OUTPATIENT BASIS

ALCOHOL & DRUGE ABUSE ASSESSMENT AND TREATMENT PROGRAMS PROVIDING SERVICES ON BOTH RESIDENTIAL AND OUTPATIENT BASIS",35.621426,-92.778216,71-0545718,AR
EXTENSIONS OF GRACE MINISTRIES,, ,,,,145 PLEASANT ST % MARSHA HARRIS,WEST FORK,72774,,"

",35.9242477,-94.1885387,26-3771814,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,RR 1 BOX 465 ,MAMMOTH SPG,72554,,"

",36.4481824,-91.54023269999999,51-0201623,AR
AMERICAN VETERANS OF WORLD WAR II KOREA AND VIETNAM,, ,,,,PO BOX 271 ,LEAD HILL,72644,,"

",36.4197897,-92.9148948,71-0766978,AR
