,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
MOMS CLUB,, ,,,,2825 MISTY RIDGE DR % AMANDA DAY,NORMAN,73071,,"

",35.2407401,-97.4056928,38-3788151,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,900726 S 3420 RD ,CHANDLER,74834,,"

",0.0,0.0,73-6104437,OK
RENEWING OF THE MIND INC,, ,,,,110 E 62ND ST N ,TULSA,74126,,"

",36.243817,-95.99399799999999,73-1568836,OK
OKLAHOMA ALLIANCE FOR ARTS EDUCATION INC,, ,,,,PO BOX 1275 ,JENKS,74037,,"

",0.0,0.0,73-1288908,OK
THE LEGACY PROJECT FOR CREATIVE AND SUSTAINABLE LEARNING INC,, ,,,,6224 S HUDSON AVE % LAURA FRANCIS,TULSA,74136,,"

",36.0613546,-95.9515399,30-0438805,OK
BLACKWELL YOUTH CRIME PREVENTION ASSOCIATION,, ,,,,221 W BLACKWELL AVE % JOE BALL,BLACKWELL,74631,,"

",0.0,0.0,73-1599508,OK
NORTHWEST OKLAHOMA CRISIS PREGNANCY CENTER INC,, ,,,,1321 KANSAS AVE ,WOODWARD,73801,,"CRISIS PREGNANCY CENTER

TO MINISTER TO WOMEN IN CRISIS PREGNANCIES BY PROVIDING NECESSARY SUPPORT SERVICES TO ENABLE THEM TO CARRY THEIR BABIES TO TERM SERVED 1,333",0.0,0.0,73-1423490,OK
KOREN WAR VETERANS ASSOCIATION OKLAHOMA CHAPTER,, ,,,,PO BOX 891321 ,OKLAHOMA CITY,73189,,"

",35.52,-97.52,73-1443962,OK
"Tulsa Casa, Inc.",pam.dose@tulsacasa.org,Pamela Dose,,Executive Director,http://www.tulsacasa.org,700 S Boston Ste 230,Tulsa,74119,,"Tulsa CASA was established in 1985 to provide trained volunteers for appointment to abuse & neglect cases by juvenile court judges.  Our mission is to speak for the best interests of abused & neglected children in court.  We promote and support volunteer representation for children in an effort to provide each child a safe, permanent, nurturing home.

Court appointed special advocates - recruited, trained and supervised 111 volunteers who donated 6,765 hours while advocatin for 369 neglected and abused children in the Tulsa County Juvenile Court Sytems.",36.1495824,-95.98783949999999,73-1312870,OK
MIDCO INC,, ,,,,PO BOX 85 ,CHELSEA,74016,,"EMPLOYMENT OF MENTALLY & PHYSICALLY DISABLED

THE ORGANIZATIONS HAS PROVIDED EMPLOYMENT OPPORTUNITIES FOR 44 DISABLED PERSONS. CERTIFIED AS ELIGIBLE BY OKLAHOMA DDSD CAS MANAGERS, THROUGH ASSEMBLY WORK IN SHELTERED WORKSHOP AND RETAIL SALES IN THRIFT STORE",36.535647,-95.432474,03-0421777,OK
WOMENS SERVICE & FAMILY RESOURCE CENTER INC,, ,,,,PO BOX 1539 ,CHICKASHA,73023,,"Twenty-four hour crisis line, temporary emergency shelter, counseling and other assistance for victims of domestic and sexual violence & assault.

Emergency Services: Crisis line calls & crisis intervention; temporary shelter, food, clothing, supplies and transportation",35.0499941,-97.9413038,73-1147385,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,PO BOX 172 ,FORT TOWSON,74735,,"

",34.0187169,-95.26634399999999,27-1075782,OK
NATIONAL ASSOCIATION OF BLACK VETERANS INC,, ,,,,3212 PHOENIX DR % LANSING LEE,MUSKOGEE,74403,,"

",35.7478769,-95.3696909,90-0442093,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,HC 52 BOX 52C ,EUFAULA,74432,,"

",35.2873206,-95.58248460000002,27-0785096,OK
VETERANS SERVICE OFFICERS ASSOCIATION OF OKLAHOMA,, ,,,,PO BOX 15111 % DONALD W HADEN,OKLAHOMA CITY,73155,,"

",35.42,-97.44,73-1468989,OK
CHRISTIAN LAY ENTERPRISES INC,, ,,,,208 W TYLER ST ,MANGUM,73554,,"

",34.8784528,-99.5077427,73-1464557,OK
SOCIETY OF ST VINCENT DE PAUL ST FRANCIS OF ASSISI CONFERENCE,, ,,,,1419 N 67TH EAST AVE ,TULSA,74115,,"

",0.0,0.0,20-2543142,OK
MARY ABBOTT CHILDRENS HOUSE INC,online@abbott-house.org,Kathe Cantrell,405-579-5800,Administrative Assistant,www.abbott-house.org,PO Box 6316 ,Norman,73070,,"Mary Abbott Children''s House provides coordinated interagency investigation, intervention services in a child-friendly environment, and community education with the goal of reducing trauma for victims of child abuse and neglect.

RESPONSE AND EVALUATION OF CHILDREN AT RISK FOR ABUSE",35.2214777,-97.44588499999999,73-1512416,OK
STILLWATER DOMESTIC VIOLENCE SERVICES INC,, ,,,,115 E 4TH AVE ,STILLWATER,74074,,"VICTIM RELIEF FROM DOMESTIC VIOLENCE

OPERATION OF A SAFE HOME FOR BATTERED WOMEN AND THEIR CHILDREN AND OPERATION OF A 24 HR. HOT LINE AND OPERATION OF A PARENT'S ASSISTANCE CENTER",36.1178358,-97.0584303,73-1097811,OK
SURE FOUNDATION OUTREACH INC,, ,,,,PO BOX 1763 % WENDELL L DAVIS,LAWTON,73502,,"

",34.6028382,-98.39527580000001,56-2482056,OK
CREATIVE EDUCATION INC,, ,,,,3815 E 40TH ST ,TULSA,74135,,"

",0.0,0.0,73-1388687,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,PO BOX 244 ,STILLWATER,74076,,"

",36.1133016,-97.0572308,27-0194142,OK
ABBAS FAMILY,, ,,,,2232 S NOGALES AVE % ROBERT CHARLES ALTHOFF,TULSA,74107,,"

",36.0993914,-96.0573302,80-0154074,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,102 MEADOWLARK LN ,DURANT,74701,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",33.9959661,-96.4165573,73-6103064,OK
OPERATION C A R E,, ,,,,219 W COMMERCE ST % ALISA GIRON,ALTUS,73521,,"

",34.637765,-99.3340442,43-2110164,OK
STEP OF FAITH OUTREACH INC,, ,,,,601 CAMELOT CT ,ALTUS,73521,,"

",34.6436533,-99.31050909999999,73-1522282,OK
INCA COMMUNITY SERVICES INC,, ,,,www.incacaa.org,PO BOX 68 ,TISHOMINGO,73460,,"Operates programs to alleviate the cause of poverty and enhance the public health and welfare by opening to everyone the opportunity to work, have safe and affordable housing, transportation, training and education, and the opportunity to live in decency and dignity.

Children's Services - programs to provide an education to preschool age children of underprivileged families through Head Start. Additionally, $538,267 in in-kind contributions consisting of volunteer time and donated space were received for HeadStart program.",0.0,0.0,73-0785941,OK
OKLAHOMA VETERANS COUNCIL,, ,,,,PO BOX 53037 % JERRY ASKINS,OKLAHOMA CITY,73152,,"

",35.48999999999999,-97.50999999999999,31-1565459,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,PO BOX 425 ,CHEYENNE,73628,,"

",0.0,0.0,73-1339651,OK
GARFIELD COUNTY SOBRIETY COURT INC,, ,,,,115 W BROADWAY AVE % SARAH STONE,ENID,73701,,"

",36.3955891,-97.8783911,20-2803811,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 642 % EVERT BOAK,BEGGS,74421,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-1129773,OK
CARR MINISTRIES INC,, ,,,,PO BOX 720896 ,OKLAHOMA CITY,73172,,"Assisting families. Assistance to local churches in educating attendees re: State of Oklahoma's high divorce rate; assisting teenagers and parents with family communications in blended families.

Assisting families. Assistance to local churches in educating attendees re: State of Oklahoma's high divorce rate; assisting teenagers and parents with family communications in blended families.",35.52,-97.52,73-1588492,OK
SOUTH OKC ROTARY FOUNDATION,, ,,,,7701 S WESTERN STE 201 % SHARON VOORHEES,OKLAHOMA CITY,73139,,"

",35.3810878,-97.51930929999999,26-3758694,OK
MANNA PANTRY,, ,,,,PO BOX 850073 % JACKIE HARTPENCE,YUKON,73085,,"

",35.4997087,-97.7603238,13-4314187,OK
MOBILE MEALS OF OKLAHOMA COUNTY INC,, ,,,,6051 N BROOKLINE AVE STE 123 ,OKLAHOMA CITY,73112,,"PROVIDE MEALS TO HOMEBOUND ELDERLY.

PROVIDED SERVICES COORDINATING THE TRANSPORTATION OF APPROXIMATELY MEALS TO THE HOME BOUND ELDERLY.",35.5334412,-97.567843,34-1987021,OK
COMMITTEE OF ONE HUNDRED TULSA INC,, ,,,,701 N LAKEWOOD ,TULSA,74114,,"Scholarships for college students who are children of law enforcement officers or other emergency personnel.

Scholarships for college students Enick Neely $ 2,000.00 Brett Bertelli 2,000.00 Kayla Ward 2,000.00 Kyle Palmer 2,000.00 Timothy Macdonnell 2,000.00 Michael Dunlap 2,000.00 Stefanie Coralla 2,000.00 Wesley Geier 2,000.00 Richard Jackson 2,000.00 Nicholas Marfechuk 2,000.00 Jennifer Noordyke 2,000.00 Harry Stege 2,000.00 Edward Vanmatre 2,000.00 Erin Burton 2,000.00 Amy Faltisko 2,000.00 Eric Heinrichs 2,000.00 Samantha Siebert 2,000.00 Emily Smith 2,000.00 Diane Steele 2,000.00",0.0,0.0,73-1017275,OK
SANTAS CAUSE TOO INC,, ,,,,2611 MOCKINGBIRD DR ,PONCA CITY,74604,,"

",36.72857,-97.0476429,45-2950315,OK
TULSA ADVOCATES FOR THE PROTECTION OF CHILDREN INC,, ,,,,PO BOX 14044 % CATHY LOHREY,TULSA,74159,,"EXCLUSIVELY CHARITABLE AND EDUCATIONAL, SPECIFICALLY TO PROVIDE FUNDS FOR ENHANCEMENT OF PROGRAMS AND EDUCATIONAL AND OTHER SERVICES TO CHILDREN AND TEENS IN PROTECTIVE CUSTODY OF THE DEPARTMENT OF HUMAN SERVICES (DHS) IN TULSA COUNTY, OKLAHOMA.

THE PURPOSE OF THE CHILD ASSESSMENT AND REFERRAL (CARE) PROGRAM IS TO ESTABLISH A PILOT PROGRAM IN TULSA COUNTY THAT FULFILLS A CRITICAL, FEDERALLY MANDATED BUT UNMET, HEALTHCARE NEED OF CHILDREN WHO ARE IN THE CUSTODY OF THE STATE'S CHILD WELFARE SYSTEM. THE GOAL IS TO PROVIDE COMPREHENSIVE HEALTH AND DEVELOPMENTAL SCREENINGS AND REFERRAL FOR THESE CHILDREN AS THEY COME THROUGH THE LAURA DESTER SHELTER, LAUNCHING A MODEL PROGRAM THAT CAN BE REPLICATED FOR ALL CHILDREN IN STATE CUSTODY.",0.0,0.0,73-1614729,OK
OKLAHOMA CITY SPIRIT SOCCER CLUB INC,, ,,,,5624 NW 103 ,OKLAHOMA CITY,73162,,"The Spirit Soccer Club is an organization of concerned citizens in Oklahoma Cith that have joined together to support Oklahoma soccer player's development and enjoyment of soccer in the greater Oklahoma Cith area.

The club has approximately 75 boys and girls playing at this tim. The service provided by the club is team organization, coaching and the guidance in the area of soccer development for each member",35.575079,-97.6162669,73-1364463,OK
UPPER SPRINGS INC,, ,,,,PO BOX 1 ,BETHANY,73008,,"

",35.5186678,-97.63226390000001,27-4542588,OK
DAVIS WORLD MISSIONS INC,, ,,,,PO BOX 453 ,BIXBY,74008,,"

",35.9420431,-95.88332349999999,26-2417066,OK
IN SIGHT MINISTRIES INC,, ,,,,6318 KING DR ,BARTLESVILLE,74006,,"

",36.743269,-95.906177,45-2610435,OK
ASSOCIATED CHARITIES OF BLACKWELL,, ,,,,PO BOX 375 ,BLACKWELL,74631,,"

DONATIONS RECEIVED ARE USED FOR NEEDY PEOPLE.",36.8044767,-97.2828207,73-1477008,OK
AMERICAN LEGION POST 0147 FLOYD L PERRY,, ,,,,PO BOX 668 ,MIAMI,74355,,"

",0.0,0.0,73-6103565,OK
COUNTRY MUSIC SINGERS ASSOCIATION OF OKLAHOMA,, ,,,,PO BOX 19916 % DANIEL L BARTON,OKLAHOMA CITY,73144,,"

",35.4089155,-97.554947,73-1496470,OK
FAMILY VISION MINISTRIES INC,, ,,,,PO BOX 5843 % GREG GUNN,EDMOND,73083,,"

",0.0,0.0,72-1558391,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,206 E PINE BOX 457 ,WESTVILLE,74965,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-6104476,OK
CITY CARE INC,leann.citycare@coxinet.net,Leann Davis,,Asset Manager/Compliance Specialist,www.citycareinc.org,2400 General Pershing  Blvd ,Oklahoma City,73107,,"City Care''s mission is to proivide for the physical, emotional and educational needs of the homeless and impoverished in Oklahoma City.

Affordable Housing Program Provide 60 units of transitional housing to homeless individuals, 24 units of permanent supportive housing for disabled homeless individuals, 5 units for a homeless to home-ownership program, and 4 units of low-income housing",35.472292,-97.554969,73-1497381,OK
SOARING TO NEW HEIGHTS OUTREACH INTERNATIONAL INC,, ,,,,6539 E 31ST ST STE 31 % ROBERT E STAGGS,TULSA,74145,,"

",0.0,0.0,74-3077843,OK
"Feed The Children, Inc.",tony.sellars@feedthechildren.org,Tony Sellars,,Director of Communications,http://www.feedthechildren.org,PO Box 36 ,Oklahoma City,73101,,"Providing hope and resources for those without life''s essentials

FOOD, MEDICAL, AND CHILD CARE SUPPLEMENTING BASIC NEEDS OF CHILDREN AND FAMILIES WITH FOOD, CLOTHING MEDICAL CARE, AND MEDICINE IN THE UNITED STATES AND AROUND THE WORLD EQUIPPING AND SUPPLYING FOOD DISTRIBUTION CENTERS",0.0,0.0,73-6108657,OK
"The Metropolitan Tulsa Urban League, Inc.",info@nul.org,David Lowenstein,(212) 558-5300,,http://www.nul.org/,240 E Apache ,Tulsa,74106,,"Our Movement: The Urban League movement was founded in 1910. The National Urban League, headquartered in New York City, spearheads our nonrofit, nonpartisan, community based movement. The heart of the Urban League movement is our professionally staffed Urban League affiliates in over 100 cities in 34 states and the District of Columbia. Our Mission: The mission of the Urban League movement is to enable African Americans to secure economic self-reliance, parity and power and civil rights. Our Methods: The Urban League movement carries out its mission at the local, state and natonal levels through direct services, advocacy, research, policy analysis, collaboration and communications.

THE METROPOLITAN TULSA URBAN LEAGUE IS AN INTERRACIAL NON-PARTISAN COMMUNITY SERVICE ORGANIZATION WHICH WORKS TO SECURE EQUAL OPPORTUNITIES IN ALL SECTORS OF SOCIETY FOR MINORITIES AND THE DISADVANTAGED",36.1914376,-95.9919477,73-0610288,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,PO BOX 892 % WARREN DRUMHELLER,MCALESTER,74502,,"

",0.0,0.0,73-1476849,OK
JEREMIAHS CONCEPT INC,, ,,,,7823 S WHEELING AVE APT 36G % SHEILA AMPHREY,TULSA,74136,,"

",36.0613546,-95.9515399,94-3427528,OK
PONCA CITY POLICE FOUNDATION TRUST,, ,,,,PO BOX 190 ,PONCA CITY,74602,,"

",36.675567,-97.308229,73-1543991,OK
COMMUNITY ASSOCIATION OF SPARROW HAWK,, ,,,,12 SUMMIT RIDGE DR ,TAHLEQUAH,74464,,"

",35.9828201,-94.8948668,73-1438622,OK
SONS OF CONFEDERATE VETERANS INC,, ,,,,308 NE 1ST ST STE A % JON W KETCHER,PRYOR,74361,,"

",0.0,0.0,20-2023968,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,PO BOX 266 ,FREDERICK,73542,,"

",34.3920263,-99.0184093,73-1293291,OK
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 99 ,KREBS,74554,,"

",34.9278748,-95.71582210000001,73-1081157,OK
OKLAHOMA STATE NAVY,, ,,,,PO BOX 341 % COLEMAN JENNINGS,COOKSON,74427,,"

",35.709751,-94.91877,73-1202587,OK
INTERNATIONAL ORPHAN AID INC,, ,,,,3804 W UTICA ST ,BROKEN ARROW,74011,,"

",36.009994,-95.835707,27-2403326,OK
"Free at Last Outreach Ministries, Inc.",imlk@aol.com,Ricky Sanchez,,Pastor,Freeatlastoutreach.Org,P.o. Box 3153 2527 SE Lee Blvd,Lawton,73502,,"Leah's Open Arm's food program was founded in 1999 in a small closet, in a basement of our church. Under the direction of the Lord , we began to meet the needs of the ever-increasing number of hungry families in SW Oklahoma. We are comprised of volunteers that assist in bagging and distributing the groceries to needy families.

",34.593107,-98.35502199999999,73-1482892,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA LADIES AUXILIARY,, ,,,,PO BOX 396 ,CHOUTEAU,74337,,"

",36.1859301,-95.34302389999999,73-1294305,OK
DISABLED AMERICAN VETERANS,, ,,,,5300 NW 23RD ST ,OKLAHOMA CITY,73127,,"

",0.0,0.0,73-6102367,OK
NY UNIFORM SERVICES AND DOD VICTIMS FUND INC,, ,,,,PO BOX 950638 ,OKLAHOMA CITY,73195,,"

",35.52,-97.52,73-1619789,OK
GLAD TIDINGS MINISTRIES INCORPORATED,, ,,,,PO BOX 201 ,DEPEW,74028,,"

",35.8028493,-96.50612149999999,30-0638788,OK
NATIVE AMERICAN RESOURCE CENTER INC,, ,,,,5840 S MEMORIAL DR STE 105 ,TULSA,74145,,"Business development, education, employment and training assistance of Federally recognized Native American tribes and their members.

Providing educational services to Federally recognized Native American Tribes and their members for business development and employment training.",36.0796482,-95.88656150000001,73-1530142,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,112 W THIRD ST ,BROKEN BOW,74728,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",34.0293817,-94.7372152,51-0150465,OK
FIRST KANSAS COLORED VOLUNTEER INFANTRY LIVING HISTORY GROUP,, ,,,,8400 NE 39TH STREET % CHARLES L SMITH,MIDWEST CITY,73140,,"

",35.4640881,-97.3837856,61-1456721,OK
LEGAL ALTERNATIVES INC,davidk@legal-alternatives.org,David Knight,,President,www.legal-alternatives.org,2121 E 51st Street 119,Tulsa,74195,,"Unfortunately, many families today cannot afford prevailing attorney retainers.  However, they still must seek legal assistance to insure proper representation throughout this process.    L.A. has put into place a program that provides access to the legal system for low to middle income families.  In addition this system provides compensation to the attorneys that have agreed to work within our program.    L.A. feels that by assisting these families in accessing the legal system, they can help to provide a proper environment in today?s diversified family situations, with the primary focus on the safe, stable and productive life of the children living through these events.

Legal Alternatives, Inc conducts business in all 77 counties in Oklahoma Legal Alternatives has a 5 member board of directors Legal Alternatives, Inc targets to assist those who (a) need legal assistance, and (b) whose income level is within the defined specifications for poverty level",36.0897747,-95.96207439999999,42-1643230,OK
WARRIOR MINISTRIES INC,, ,,,,711 N RAILROAD ST % RANDY WILSON,OKTAHA,74450,,"

",0.0,0.0,82-0561304,OK
BROKEN ARROW NEIGHBORS,, ,,,WWW.BROKENARROW.GOV/BA NEIGHBORS/ABOUT BAN.HTM,322 W BROADWAY AVE ,BROKEN ARROW,74012,,"BROKEN ARROW NEIGHBORS' PRIMARY PURPOSE IS TO PROVIDE BASIC NEEDS ASSISTANCE WITH DIGNITY AND COMPASSION TO NEIGHBORS IN NEED THROUGH A COOPERATIVE COMMUNITY EFFORT.

THE ORGANIZATION PROVIDES FOOD, CLOTHING, MEDICAL, RENT AND UTILITY ASSISTANCE TO INDIVIDUALS IN NEED PARTICULARLY THOSE NOT SERVED BY EXISTING SOCIAL SERVICE PROGRAMS. THE ORGANIZATION SERVED OVER 8,500 INDIVIDUALS.",36.0525085,-95.79426029999999,73-1195548,OK
OKLAHOMA NATIVE AMERICAN DOMESTIC VIOLENCE COALITION INC,, ,,,www.onadvc.com,6303 WATERFORD BLVD STE 260 ,OKLAHOMA CITY,73118,,"Domestic violence prevention among Native Americans

Raised awareness of Native American domestic violence issues with conference for 4 quarterly meetings for 50 to address issues, statewide travel to meet with tribal leaders and law enforcement, set up task force, and newsletters.",0.0,0.0,73-1592493,OK
"Oklahoma Crime Stoppers, Inc.",, ,,,,PO Box 1899 ,Duncan,73534,,"Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:a) assisting their law enforcement agencies in the apprehension and conviction of criminals, primarily through the establishment and support of new and existing state and local Crime Stopper Programs.b) training and advising law enforcement personnel and others who participate in such programs.c) helping to motivate members of the public to cooperate with their respective law enforcement agencies.d) stimulating and encouraging the flow of information to, among and between various law enforcement agencies.e) creating and circulating films, video and sound tapes, and printed material about crime prevention and Crime Stopper Programs, and otherwise promoting such programs.f) visiting places where existing or potential Crime Stopper Programs are located to advise concerning the operation thereof.

",0.0,0.0,73-1394438,OK
CENTER FOR PSYCHOTHERAPY EDUCATION AND SPIRITUAL GROWTH INC,, ,,,,4141 N W EXPRESSWAY 370 ,OKLAHOMA CITY,73116,,"PASTORAL PSYCHOTHERAPY

THE CORPORATION'S PURPOSE OF CHRISTIAN MINSTRY THROUGH PASTORAL COUNSELING AND PSYCHOTHERAPY WAS ACHIEVED BY SERVING 208 PATIENTS DURING THE YEAR ENDED 12/31/09.",35.5378406,-97.5920881,73-1457900,OK
NORTHERN LIGHTS ALTERNATIVES- OKLAHOMA CITY INC,, ,,,,PO BOX 12151 ,OKLAHOMA CITY,73157,,"

",35.52,-97.52,73-1483695,OK
PREGNANCY HELP CENTER OF PUSHMATAHA COUNTY OKLAHOMA USA INCORPORATED,, ,,,,207 NE 2ND ST ,ANTLERS,74523,,"

",0.0,0.0,73-1511440,OK
TULSA PSYCHIATRIC CENTER INC,, ,,,,1620 E 12th St ,Tulsa,74120,,"SUPPORTING A LOCAL FACILITY THAT PROVIDES MENTAL HEALTH SERVICES TO THE COMMUNITY

TULSA PSYCHIATRIC CENTER'S EXEMPT PURPOSE IS TO PROVIDE SUPPORT FOR, TO OPERATE FOR THE BENEFIT OF, TO PERFORM THE FUNCTIONS OF, AND TO CARRY OUT THE PURPOSE OF PARKSIDE, INC., A TAX EXEMPT HOSPITAL PROVIDING MENTAL HEALTH SERVICES OR ITS SUCCESSORS OR ANY OTHER HEALTH CARE FACILITY OR PROGRAM DESCRIBED IN SECTION 509(A)(1) OR 509(A)(2) OF THE INTERNAL REVENUE CODE OF 1986. TULSA PSYCHIATRIC CENTER IS OWNER AND PARKSIDE, INC., IS OPERATOR OF THE HOSPITAL FACILITY.",36.143946,-95.96997999999999,73-0703797,OK
OKLAHOMA HUMAN SERVICES FOUNDATION INC,, ,,,,PO BOX 25352 ,OKLAHOMA CITY,73125,,"

",0.0,0.0,73-1477405,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,RT 1 BOX 92 ,KEOTA,74941,,"

",0.0,0.0,73-1129310,OK
COMMUNITY ACTIVITIES INC OF ARDMORE,, ,,,,PO BOX 2597 ,ARDMORE,73402,,"Improve city services and facilities for general public.

Constructed an open air building which will serve as a Farmers' Market in downtown Ardmore. The Farmers' Market will be owned and maintained by the City of Ardmore. Farmers in the Ardmore area (20-30) will market fresh produce for sale each Wednesday and Saturday. Residents from Ardmore and surrounding areas (30,000-50,000) will benefit from the availability of the farmers products.",0.0,0.0,73-6067926,OK
NOW IS THE TIME INC COMMUNITY DEVELOPMENT CENTER,, ,,,,401 W BROADWAY ST STE 202 % JACQUELYN HARRIS,MUSKOGEE,74401,,"

",35.7478769,-95.3696909,20-0743210,OK
VIETNAM VETERANS OF AMERICA INC,, ,,,,32140 S 595 LOOP ,GROVE,74344,,"

",36.550486,-94.817472,30-0169334,OK
CORNER HEARTH INC,, ,,,http://www.cornerhearth.org,3031 S TROOST AVE ,TULSA,74114,,"TO PROVIDE A COMMUNITY CENTER TO MEET THE PHYSICAL AND SPIRITUAL NEEDS OF THE COMMUNITY SURROUNDING EUGENE FIELD ELEMENTARY SCHOOL

ESTABLISHED A PLACE FOR MEMBERS OF THE COMMUNITY TO BUY GROCERIES AS AN ALTERNATIVE TO FAST FOOD AND CONVENIENCE STORES",36.119561,-95.968384,26-2498090,OK
F & CS MENTAL HEALTH CARE INC,, ,,,www.fcsok.org,650 S PEORIA AVE ,TULSA,74120,,"provide a full range of mental health services, including crisis repsonse, outpatient therapy, case mgmt, psychotropic medication clinics, medication mgmt, day services for adults, outpatient substance abuse services & specialized services in jail diversion, children & the homeless

f&cs mental health care provides a full range of mental health services, as described above",0.0,0.0,73-1617863,OK
KEYS ENABLING YOUR SUCCESS INC,, ,,,,PO BOX 342 ,EDMOND,73083,,"TO PROVIDE LOW INCOME HOUSING TO THE DISABLED

PROVIDE ADEQUATE AFFORDABLE HOUSING TO LOW INCOME PEOPLE WITH DEVELOPMENT OR PHYSICAL DISABILITIES. ORGANIZE AND ONE BEDROOM APARTMENTS.",0.0,0.0,73-1438299,OK
Psi Chi Chapter,scottgast@hotmail.com,Kay Wilson,(423) 756-2044,Executive Officer,http://www.psichi.org,Psychology Dept ,Stillwater,74074,,"Psi Chi is the National Honor Society in Psychology, founded in 1929 for the purposes of encouraging, stimulating, and maintaining excellence in scholarship, and advancing the science of psychology. Membership is open to graduate and undergraduate men and women who are making the study of psychology one of their major interests, and who meet the minimum qualifications. Psi Chi is a member of the Association of College Honor Societies and is an affiliate of the American Psychological Association and the American Psychological Society.

",0.0,0.0,73-6103707,OK
VETERANS OF FOREIGN WARS OKLAHOMA HOMES INC,, ,,,,PO BOX 4 ,WILBURTON,74578,,"

",0.0,0.0,73-1596423,OK
BARTLESVILLE POLICE RESERVES INC,, ,,,,PO BOX 63 ,BARTLESVILLE,74005,,"

",36.7479572,-95.9809247,73-1434225,OK
CELL PHONES FOR LIFE INC,, ,,,,24 N WASHINGTON ST ,ARDMORE,73401,,"

To provide emergency cell phones for battered women, elderly, and children shelters",0.0,0.0,20-0473319,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,4917 N JOHNSTOWN AVE ,TULSA,74126,,"

",0.0,0.0,73-1158908,OK
EAGLE CHRISTIAN MINISTRIES INC,, ,,,,3101 TINKER DIAGONAL ST % JIMMMY V MCWHARTER,DEL CITY,73115,,"

",35.4420062,-97.4408698,11-3834103,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,15637 N 137 E AVE ,COLLINSVILLE,74021,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-6104443,OK
NORTHEASTERN OKLAHOMA PSYCHOLOGY INTERNSHIP PROGRAM,, ,,,,PO BOX 69 ,VINITA,74301,,"

",0.0,0.0,73-1505365,OK
"Chisholm Trail Counseling Services, Inc.",, ,,,,4400 N LINCOLN BLVD ,OKLAHOMA CITY,73105,,"PSYCHIATRIC GUIDANCE AND COUNSELING

PROVIDE MENTAL HEALTH CARE SERVICES TO ALL INDIVIDUALS AND FAMILIES LIVING IN GRADY AND CANADIAN COUNTIES IN OKLAHOMA WHO ARE IN NEED OF SERVICES REGARDLESS OF THEIR ABILITY TO PAY FOR SERVICES.",35.516109,-97.502545,73-1075336,OK
OKLAHOMA HEALTH PROFESSIONALSPROGRAM INC,, ,,,WWW.OKMED.ORG,313 NORTHEAST 50TH ,OKLAHOMA CITY,73105,,"PHYSICIANS RECOVERY PROGRAM

OKLAHOMA HEALTH PROFESSIONALS PROGRAM SERVES THE NEEDS OF PROFESSIONALS AT RISK OF ,OR SUFFERING FROM SUBSTANCE USE DISORDERS, AND/OR PSYCHIATRIC DISORDERS THROUGH PROMPT INTERVENTION, REFERRAL TO TREATMENT, MONITORING AND ADVOCACY",35.5226676,-97.50602110000001,20-8477202,OK
